Date/Time,Document Title,Document Url,respuesta_Adjudicatario,respuesta_Importe total,respuesta_Tipo de gasto
2014-02-06 09:54,DGC 389 2012,http://www.documentcloud.org/documents/954627-dgc-389-2012.html,Honorable Senado de la Nación,48950.0,Canje de pasajes
2014-02-06 10:09,DGC 39 2012,http://www.documentcloud.org/documents/953717-dgc-39-2012.html,Fideocomiso Plusmar,27825.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-06 10:20,DGC 1363 2012,http://www.documentcloud.org/documents/956617-dgc-1363-2012.html,Honorable Senado de la Nación,9254.5,Viáticos y gastos
2014-02-06 10:21,DGC 729 2012,http://www.documentcloud.org/documents/955436-dgc-729-2012.html,Imprenta del Congreso de la Nación,1106.0,Servicios de impresión
2014-02-07 07:12,DGC 648 2012,http://www.documentcloud.org/documents/955241-dgc-648-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-02-18 07:48,DGC 293 2012,http://www.documentcloud.org/documents/954482-dgc-293-2012.html,Honorable Senado de la Nación,1439.6,Viáticos y gastos
2014-02-18 08:49,DGC 2113 2012,http://www.documentcloud.org/documents/957741-dgc-2113-2012.html,Gobierno de la Ciudad de Buenos Aires,45678.64,Impuestos
2014-02-18 08:50,DGC 1042 2012,http://www.documentcloud.org/documents/956148-dgc-1042-2012.html,Fideocomiso Plusmar,18239.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-18 08:52,DGC 880 2012,http://www.documentcloud.org/documents/955862-dgc-880-2012.html,Honorable Senado de la Nación,2640.63,Gastos de protocolo y ceremonial
2014-02-18 08:57,DGC 1636 2012,http://www.documentcloud.org/documents/957008-dgc-1636-2012.html,Honorable Senado de la Nación,2350.0,Gastos de protocolo y ceremonial
2014-02-18 10:45,DGC 462 2012,http://www.documentcloud.org/documents/954818-dgc-462-2012.html,Honorable Senado de la Nación,37927.04,Viáticos para agentes
2014-02-18 12:19,DGC 925 2012,http://www.documentcloud.org/documents/955959-dgc-925-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-02-18 12:39,DGC 997 2012,http://www.documentcloud.org/documents/956076-dgc-997-2012.html,Honorable Senado de la Nación,1439.6,Viáticos y gastos
2014-02-18 14:49,DGC 1311 2012,http://www.documentcloud.org/documents/956544-dgc-1311-2012.html,Honorable Senado de la Nación,2900.0,Gastos de protocolo y ceremonial
2014-02-19 13:30,DGC 3 2012,http://www.documentcloud.org/documents/957948-dgc-3-2012.html,AUSA autopistas urbanas S.A.,7041.29,Servicio de peaje y telepeaje
2014-02-19 13:58,DGC 470 2012,http://www.documentcloud.org/documents/954829-dgc-470-2012.html,Honorable Senado de la Nación,719.80,Viáticos y gastos
2014-02-19 14:00,DGC 191 2012,http://www.documentcloud.org/documents/954175-dgc-191-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-02-21 07:20,DGC 1695 2012,http://www.documentcloud.org/documents/957091-dgc-1695-2012.html,Honorable Senado de la Nación,1850.9,Viáticos y gastos
2014-02-21 07:21,DGC 1408 2012,http://www.documentcloud.org/documents/956680-dgc-1408-2012.html,Expreso Tigre Iguazu S.R.L.,4140.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-02-21 07:44,DGC 1912 2012,http://www.documentcloud.org/documents/957426-dgc-1912-2012.html,Ochaxa Ediciones S.R.L.,5790.0,Servicios de impresión
2014-02-21 07:45,DGC 2232 2012,http://www.documentcloud.org/documents/957911-dgc-2232-2012.html,Honorable Senado de la Nación,5552.7,Viáticos y gastos
2014-02-21 08:09,DGC 1261 2012,http://www.documentcloud.org/documents/956471-dgc-1261-2012.html,Honorable Senado de la Nación,11515.8,Viáticos y gastos
2014-02-21 08:10,DGC 1742 2012,http://www.documentcloud.org/documents/957157-dgc-1742-2012.html,Honorable Senado de la Nación,23136.25,Viáticos y gastos
2014-02-21 08:20,DGC 267 2012,http://www.documentcloud.org/documents/954404-dgc-267-2012.html,Honorable Senado de la Nación,7198.0,Viáticos y gastos
2014-02-21 08:44,DGC 1916 2012,http://www.documentcloud.org/documents/957432-dgc-1916-2012.html,Honorable Senado de la Nación,3701.8,Viáticos y gastos
