Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"STOLBIZER, MARGARITA ROSA",BUENOS AIRES,10/12/2013,9/12/2017,GEN
,"STURZENEGGER, FEDERICO ADOLFO",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"TEJEDOR, MIGUEL ANGEL",CHACO,10/12/2013,9/12/2017,UCR
,"TENTOR, HECTOR OLINDO",JUJUY,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"TINEO, JAVIER HECTOR",LA RIOJA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"TOLEDO, SUSANA MARIA",SANTA CRUZ,10/12/2013,9/12/2017,UCR
,"TOMAS, HECTOR DANIEL",SAN JUAN,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"TOMASSI, NESTOR NICOLAS",CATAMARCA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"TONELLI, PABLO GABRIEL",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UNION PRO
,"TORRES DEL SEL, MIGUEL IGNACIO",SANTA FE,10/12/2013,9/12/2017,UNION PRO
,"TORROBA, FRANCISCO JAVIER",LA PAMPA,10/12/2013,9/12/2017,UCR
,"TRIACA, ALBERTO JORGE",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"TROIANO, GABRIELA ALEJANDRA",BUENOS AIRES,10/12/2013,9/12/2017,PARTIDO SOCIALISTA
,"TUNDIS, MIRTA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"UÑAC, JOSE RUBEN",SAN JUAN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"VALDES, GUSTAVO ADOLFO",CORRIENTES,10/12/2013,9/12/2017,UCR
,"VALINOTTO, JORGE ANSELMO",CORDOBA,10/12/2011,9/12/2015,FRENTE CIVICO - CORDOBA
,"VAQUIE, ENRIQUE ANDRES",MENDOZA,10/12/2011,9/12/2015,UCR
,"VILARIÑO, JOSE ANTONIO",SALTA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"VILLA, JOSE ANTONIO",SAN JUAN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"VILLAR MOLINA, MARIA INES",NEUQUEN,10/12/2013,9/12/2017,MOV POP NEUQUINO
,"VILLATA, GRACIELA SUSANA",CORDOBA,10/12/2011,9/12/2015,FRENTE CIVICO - CORDOBA
,"ZABALZA, JUAN CARLOS",SANTA FE,10/12/2011,9/12/2015,PARTIDO SOCIALISTA
,"ZAMARREÑO, MARIA EUGENIA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ZIEBART, CRISTINA ISABEL",CHUBUT,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ZIEGLER, ALEX ROBERTO",MISIONES,10/12/2013,9/12/2017,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ
