Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"CIAMPINI, JOSE ALBERTO",NEUQUEN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"CICILIANI, ALICIA MABEL",SANTA FE,10/12/2013,9/12/2017,PARTIDO SOCIALISTA
,"CLERI, MARCOS",SANTA FE,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"COBOS, JULIO CESAR CLETO",MENDOZA,10/12/2013,9/12/2017,UCR
,"COMELLI, ALICIA MARCELA",NEUQUEN,10/12/2011,9/12/2015,MOV POP NEUQUINO
,"CONTI, DIANA BEATRIZ",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"CONTRERA, MONICA GRACIELA",CHUBUT,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"CORTINA, ROY",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,PARTIDO SOCIALISTA
,"COSTA, EDUARDO RAUL",SANTA CRUZ,10/12/2013,9/12/2017,UCR
,"CREMER DE BUSTI, MARIA CRISTINA",ENTRE RIOS,10/12/2013,9/12/2017,UNION POR ENTRE RIOS
,"CUCCOVILLO, RICARDO OSCAR",BUENOS AIRES,10/12/2011,9/12/2015,PARTIDO SOCIALISTA
,"D'AGOSTINO, JORGE MARCELO",ENTRE RIOS,10/12/2013,9/12/2017,UCR
,"D'ALESSANDRO, MARCELO SILVIO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"DAER, HECTOR RICARDO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"DAS NEVES, MARIO",CHUBUT,10/12/2013,9/12/2017,TRABAJO Y DIGNIDAD
,"DATO, ALFREDO CARLOS",TUCUMAN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"DE FERRARI RUEDA, PATRICIA",CORDOBA,10/12/2011,9/12/2015,UCR
,"DE GENNARO, VICTOR NORBERTO",BUENOS AIRES,10/12/2011,9/12/2015,UNIDAD POPULAR
,"DE MENDIGUREN, JOSE IGNACIO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"DE NARVAEZ, FRANCISCO",BUENOS AIRES,10/12/2013,9/12/2017,UNION CELESTE Y BLANCO
,"DE PEDRO, EDUARDO ENRIQUE",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"DEL CAÑO, NICOLAS",MENDOZA,10/12/2013,9/12/2017,PTS - FRENTE DE IZQUIERDA
,"DEPETRI, EDGARDO FERNANDO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"DI TULLIO, JULIANA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"DIAZ BANCALARI, JOSE MARIA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"DIAZ ROIG, JUAN CARLOS",FORMOSA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"DOMINGUEZ, JULIAN ANDRES",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"DONDA PEREZ, VICTORIA ANALIA",BUENOS AIRES,10/12/2011,9/12/2015,LIBRES DEL SUR
,"DONKIN, CARLOS GUILLERMO",FORMOSA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"DUCLOS, OMAR ARNALDO",BUENOS AIRES,10/12/2011,9/12/2015,GEN
,"DURAND CORNEJO, GUILLERMO MARIO",SALTA,10/12/2013,9/12/2017,CONSERVADOR POPULAR
,"EHCOSOR, MARIA AZUCENA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"ELORRIAGA, OSVALDO ENRIQUE",ENTRE RIOS,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ESPER, LAURA",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE RENOVADOR
,"FABIANI, EDUARDO ALBERTO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"FELETTI, ROBERTO JOSE",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"FERNANDEZ MENDIA, GUSTAVO RODOLFO",LA PAMPA,10/12/2013,9/12/2017,PARTIDO JUSTICIALISTA LA PAMPA
,"FERNANDEZ SAGASTI, ANABEL",MENDOZA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"FERREYRA, ARACELI",CORRIENTES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
